8809,6281
5602,7659
2,607
342,3
4,3
8302,8223
6,722
4919,6693
8,7464
9,2031
470,518
11,353
1738,6027
13,784
14,3
15,4343
16,7159
17,2941
18,1351
9072,6737
20,21
21,400
9072,6737
23,5344
24,4728
9240,6594
5909,1269
27,7831
33,28
29,2491
470,518
7732,9292
32,458
33,28
34,6123
165,1656
36,2476
37,5475
38,1189
39,1825
40,182
41,3110
42,7451
8809,6281
165,1656
45,2826
46,32
47,5551
3125,6731
49,8030
50,1600
51,1879
52,1487
53,8062
54,4335
1078,2120
56,7282
4508,4385
58,132
9072,6737
1268,6603
61,7492
62,9442
63,8339
64,6674
65,7640
470,518
1738,6027
68,40
69,811
8787,2297
71,1117
72,8022
73,3233
74,1818
3125,6731
76,1879
77,5217
78,81
79,87
80,2345
81,7715
82,2308
83,6124
84,7980
85,9173
86,1675
79,87
88,1461
89,8063
90,2605
91,9020
92,7566
93,8116
8821,6905
95,780
96,570
3125,6731
98,3979
99,2469
100,8610
101,7478
102,9231
103,5860
8809,6281
79,87
106,2044
107,7554
108,3660
109,7021
110,7561
111,4678
112,5146
9072,6737
118,114
115,6079
116,6326
117,438
118,114
119,8673
9072,6737
121,274
122,1394
123,188
124,5627
125,54
5196,4110
127,2399
128,8832
129,4166
130,8363
470,518
132,265
133,2353
134,8934
135,8633
4460,136
137,7419
138,4654
4197,7883
140,193
141,1193
142,6968
143,6224
5909,1269
9072,6737
3125,6731
1873,5788
3504,7574
2129,1047
150,5345
150,5345
6303,6939
692,4236
692,4236
2516,5742
8824,2651
3125,6731
158,6803
8302,8223
2499,2498
161,7159
4508,4385
692,4236
164,8613
165,1656
166,636
167,6235
3504,7574
2224,169
1873,5788
692,4236
150,5345
173,422
174,4091
8809,6281
8970,1651
177,6667
178,5157
8809,6281
180,9262
864,4713
182,263
470,518
184,9168
185,8429
186,7598
187,7587
188,7248
189,940
190,136
8821,6905
192,2137
193,140
194,6880
8809,6281
196,327
618,7238
198,325
199,8964
8809,6281
201,9146
202,6572
203,2548
204,203
3504,7574
206,1862
7200,7509
5196,4110
209,5335
1078,2120
211,3946
212,719
3125,6731
214,8577
215,463
216,2668
217,430
218,393
219,817
220,1989
221,6118
222,3987
223,1335
224,655
225,4337
165,1656
227,9305
3125,6731
229,2573
230,3574
231,794
232,4860
233,4862
234,1552
8302,8223
236,8934
165,1656
238,5687
239,6439
240,5695
241,6711
242,4126
243,2396
244,643
245,6922
246,2369
470,518
248,8776
249,8085
250,2080
251,4
8809,6281
253,2154
165,1656
4508,4385
9072,6737
257,8655
3125,6731
2516,5742
260,4359
261,2115
262,6688
263,182
264,4262
265,346
4919,6693
267,5361
268,723
269,8597
270,3726
271,7697
2414,4676
273,268
470,518
8970,1651
276,263
277,5190
278,5902
279,7807
280,7807
281,7779
9230,3382
283,359
3125,6731
285,4412
286,6506
287,3550
288,5300
289,7014
290,7014
291,1758
292,3321
293,263
294,881
295,5058
296,6556
9072,6737
298,794
4988,8951
9072,6737
301,1155
165,1656
9072,6737
4508,4385
305,1030
306,642
307,3153
308,5381
309,3700
2129,1047
311,6734
7156,312
313,8524
314,8463
4919,6693
316,8864
317,8180
318,6388
319,325
320,3225
321,8618
470,518
323,6814
324,326
325,319
326,324
327,547
328,6406
4197,7883
330,5783
331,3181
692,4236
333,1642
334,5687
335,2502
336,335
366,337
338,4789
9072,6737
340,9332
341,2647
342,3
343,1610
692,4236
9072,6737
346,265
347,3547
348,915
349,9336
350,8886
351,5243
352,1059
353,11
3505,7048
355,4352
356,2580
470,518
8259,2416
359,6202
360,2301
361,3804
362,5663
3125,6731
896,1389
8821,6905
366,337
367,2557
368,687
3228,369
370,5090
692,4236
372,183
8809,6281
374,230
375,1681
376,4336
377,8232
378,4663
379,9067
4253,380
381,550
6700,8741
383,2218
3505,7048
3179,7573
3707,386
387,9196
388,1512
470,518
390,5970
391,2716
392,4150
218,393
394,1345
4508,4385
396,2931
3125,6731
150,5345
366,337
9230,3382
9072,6737
402,7964
470,518
404,1149
405,7381
406,503
470,518
4508,4385
409,2454
9072,6737
411,2931
412,7277
413,5266
414,9032
415,2154
416,7292
417,2789
418,658
419,6961
420,423
421,2266
422,8724
423,420
424,7799
425,6575
426,7188
9230,3382
428,103
429,42
430,5070
431,6868
432,7333
433,2057
434,2720
435,3139
436,134
437,3337
438,1800
439,1051
3504,7574
1370,1815
442,5888
443,1698
444,1330
445,448
446,3142
447,3143
448,445
449,443
450,3589
451,5685
452,538
7709,6365
